TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-10-20,0.516634,-3.952326,-0.002247,1.492512,2.114525,-1.956316,-2.0956,1.106159,-0.333293,1.527178,1.060009
2020-10-21,-0.553477,-3.011406,-0.006717,1.425567,2.096758,-1.931659,-2.067407,1.065085,-0.370205,1.536152,1.618103
2020-10-22,1.047647,-2.645533,-0.003433,1.335573,1.990258,-1.921795,-2.03396,1.023023,-0.408797,1.541412,-0.076576
2020-10-23,0.830723,-2.090433,-0.005148,1.20534,1.718441,-1.868111,-1.994369,0.981933,-0.40724,1.552332,-4.807672
2020-10-26,-1.163499,-1.64416,0.000798,1.058456,1.640409,-1.834675,-1.965446,0.925209,-0.388243,1.560437,-14.913125
2020-10-27,-0.713127,-1.757746,0.014442,0.843227,1.728386,-1.87558,-1.934772,0.871409,-0.312112,1.570719,-9.288457
2020-10-28,-2.434417,-0.476334,0.033473,0.698237,2.015194,-1.962375,-1.92429,0.786355,-0.282487,1.573951,-8.855801
2020-10-29,0.992316,-0.255238,0.004816,0.714823,2.082698,-1.983474,-1.913833,0.697193,-0.302016,1.581447,5.411031
2020-10-30,-0.373256,-0.207021,0.005957,0.849574,2.086567,-1.985186,-1.906725,0.593957,-0.331407,1.586947,9.387763
2020-11-02,1.940415,0.44665,0.011055,1.032829,1.793056,-1.880752,-1.910499,0.482392,-0.433639,1.590892,20.515673
2020-11-03,1.843938,0.927892,-0.025939,1.118091,1.311686,-1.777313,-1.895658,0.382777,-0.48592,1.593474,18.713181
2020-11-05,2.250048,2.041198,-0.030903,0.988255,0.729884,-1.628641,-1.859662,0.311447,-0.380054,1.59844,23.254326
2020-11-06,0.943212,1.631253,0.010471,0.828522,0.279313,-1.417711,-1.827249,0.253791,-0.229534,1.604301,15.613776
2020-11-09,2.17239,2.414216,-0.040959,0.572864,0.192105,-1.136336,-1.784273,0.212755,-0.02665,1.607367,13.470177
2020-11-10,0.070904,2.039165,-0.002955,0.399278,0.193517,-0.841859,-1.74613,0.151732,0.18591,1.615027,4.221613
2020-11-11,0.204452,1.806372,-0.002553,0.151892,0.270449,-0.53607,-1.716112,0.08161,0.426492,1.633135,2.944989
2020-11-12,0.028657,1.557683,0.008797,-0.002455,0.196629,-0.16151,-1.692132,0.022349,0.722469,1.644033,7.078466
2020-11-13,-0.224825,1.379396,0.00883,-0.174962,0.1074,0.215084,-1.667536,-0.034729,1.170237,1.662005,2.894587
2020-11-16,1.054065,1.192572,-0.022758,-1.117997,0.360432,0.799828,-1.632892,-0.061598,1.649627,1.679116,6.055512
2020-11-17,-1.00417,1.143235,-0.005497,-1.964905,0.358648,1.356878,-1.602007,-0.108836,2.031551,1.692915,-3.618357
2020-11-18,0.356262,1.040179,-0.012986,-2.422271,0.390807,1.85101,-1.55039,-0.099099,2.366799,1.709019,-0.128893
2020-11-19,-1.125688,1.116292,0.004106,-2.42809,0.489301,2.10626,-1.503896,-0.11083,2.692476,1.716395,-3.65772
2020-11-20,-0.213421,0.949587,-0.005515,-2.274377,0.637341,2.23244,-1.464475,-0.141615,2.912576,1.732883,5.356389
2020-11-23,-0.396486,0.889862,-0.004628,-2.153917,1.342143,2.220316,-1.422819,-0.174983,3.084063,1.745701,8.997845
2020-11-24,0.83992,0.925852,-0.00313,-1.982175,1.781253,2.1912,-1.379123,-0.186351,3.17933,1.760147,9.868674
2020-11-25,0.515597,0.672013,-0.002095,-1.886819,2.050444,2.181665,-1.328706,-0.12781,3.18727,1.772073,5.005555
2020-11-26,-0.370215,0.425161,0.009809,-1.88307,2.232879,2.150971,-1.28108,-0.029758,3.144874,1.782791,-2.877255
2020-11-27,-0.55846,-1.016561,0.013243,-2.057327,2.151854,2.142862,-1.235798,0.095923,3.074861,1.796035,0.972469
2020-11-30,-1.539946,-0.684284,0.023497,-2.209633,1.795721,2.081565,-1.209681,0.190554,2.987866,1.807213,4.940904
2020-12-01,0.480262,-1.197009,-7e-06,-2.289465,1.678606,2.054142,-1.167791,0.352858,2.922701,1.821584,5.85744
2020-12-02,0.534758,-1.530385,-0.006787,-2.46925,1.736104,2.01828,-1.114615,0.596735,2.881663,1.833502,3.887918
2020-12-03,-1.284538,-1.442019,-0.003307,-2.503374,1.763998,1.949514,-1.065398,0.836736,2.827864,1.83954,0.571158
2020-12-04,0.179015,-2.151307,-0.012588,-2.385693,1.762264,1.871673,-1.004574,1.099172,2.779108,1.851032,1.780647
2020-12-07,-0.140676,-1.993764,0.003831,-2.27457,1.762372,1.799878,-0.935341,1.428536,2.74876,1.857973,2.807855
2020-12-08,-0.920268,-2.70837,0.007097,-2.153036,1.482709,1.696428,-0.87725,1.752655,2.70963,1.860084,6.532176
2020-12-09,0.783706,-2.174492,0.010674,-2.038867,1.416426,1.621894,-0.820385,2.072382,2.654032,1.861448,10.013883
