date,news_topic_intensity_MonetaryPolicyRF_raw_z,news_sentiment_1d_raw_z,news_topic_intensity_OilGasEnergy_raw_z,news_topic_intensity_MacroRF_raw_z,news_topic_entropy_1d_raw_z,news_topic_intensity_FiscalPolicyCorp_raw_z,news_topic_intensity_GeopoliticsSanctions_raw_z,news_sentiment_extreme_1d_raw
2020-10-31,-1.51247,2.19047,-1.90176,-1.23160,-4.27785,-1.51219,-2.03827,
2020-11-01,-0.90935,1.42516,1.51733,-0.13929,-1.63872,0.59815,-1.33262,1.00000
2020-11-02,3.24482,-0.61098,-0.75618,0.40468,-1.15336,-0.01020,-1.19759,0.00000
2020-11-03,-1.06783,-0.40970,0.10356,1.95234,-0.19567,0.81789,-0.12705,
2020-11-04,0.35001,0.58482,-0.14559,0.53479,-1.11361,-0.18944,-0.77479,1.00000
2020-11-05,1.66930,0.49064,-0.47950,0.44232,0.31354,-0.43940,-0.59439,0.66667
2020-11-06,-0.89342,0.04306,-0.68735,1.10841,-0.44919,0.86443,-0.74229,0.00000
2020-11-07,1.00714,-0.32583,1.24945,-0.51265,-0.68661,-2.44422,-0.49109,
2020-11-08,0.57319,-1.09338,2.35298,-1.02417,-0.39745,2.30619,-0.42353,1.00000
2020-11-09,1.62685,-0.18583,0.25626,0.51223,1.16609,0.63980,0.34043,0.80000
2020-11-10,0.24726,-0.77589,0.35406,0.40951,0.84233,0.64025,0.28747,0.00000
2020-11-11,2.04463,0.34519,-0.27841,1.64422,0.55172,-0.85977,-0.12705,
2020-11-12,-0.12356,-0.52695,-0.08586,0.86977,0.70397,1.25522,1.04284,1.00000
2020-11-13,-0.53946,-0.19273,0.17686,-0.77389,0.26632,0.13928,0.68954,1.00000
2020-11-14,1.15535,0.26131,-1.13783,2.26047,0.00548,0.16547,-0.67311,
2020-11-15,0.21538,-0.42653,-1.26416,-0.81285,-0.57331,0.42300,1.45768,1.00000
2020-11-16,-0.53175,-0.12103,-0.08377,0.57792,0.42484,-0.14591,-0.45845,0.50000
2020-11-17,-0.90958,0.17434,-0.90364,0.04275,-0.59345,0.66138,-0.97000,0.33333
2020-11-18,0.21013,-1.16809,-0.51626,0.26908,-0.19200,1.10821,-0.19613,1.00000
2020-11-19,0.20187,0.01093,-0.54444,0.48579,0.65229,0.45164,-0.28766,0.66667
2020-11-20,-0.52269,-0.45266,-0.44908,0.68333,0.46723,-0.33735,-0.33279,1.00000
2020-11-21,-0.03035,-0.15807,-0.94685,-0.20452,0.05957,-0.58016,1.60216,
2020-11-22,-0.88202,0.28667,-0.37413,1.24804,-2.86057,-1.73441,-1.33406,1.00000
2020-11-23,-0.41215,-0.01283,-0.83636,1.97964,-0.00090,0.08141,-0.60647,0.50000
2020-11-24,-0.77141,1.18395,-0.46939,0.30902,0.11134,0.16547,-0.85513,
2020-11-25,-0.61384,-0.10743,-0.61295,1.21163,-0.67124,-0.66262,-0.28749,0.00000
2020-11-26,0.34755,-1.37008,-0.60381,0.28272,0.59441,-0.37233,-0.74014,0.50000
2020-11-27,-0.26452,-0.88302,-0.70622,0.31720,0.48660,0.24833,-0.64133,0.60000
2020-11-28,-1.51247,-2.42274,0.48552,0.30902,-2.34483,2.21595,-2.03827,
2020-11-29,-0.91025,0.11871,-0.37416,-1.13591,-1.23353,-0.66261,0.89416,1.00000
2020-11-30,-0.00197,-0.14160,0.63745,1.49254,0.33483,0.24459,-0.37754,1.00000
2020-12-01,-0.53854,0.64743,-0.11075,0.11660,0.18789,-0.06152,-0.65134,0.66667
2020-12-02,-0.58896,-0.23595,-0.71148,0.93591,0.33294,0.09774,-0.61298,0.50000
2020-12-03,-0.24802,0.45959,0.45478,0.91478,0.68677,-0.23424,-0.36154,1.00000
2020-12-04,-0.68775,-0.70975,-0.46956,0.63046,0.45772,-0.50843,0.15363,0.75000
2020-12-05,-0.89692,-0.80118,1.97652,-0.80948,-1.30227,-0.26668,2.24470,1.00000
2020-12-06,-0.76456,-0.95766,-1.16868,-0.00756,-1.71321,-0.46623,-1.20137,1.00000
2020-12-07,-0.60967,0.67032,-0.48264,0.76878,0.30552,0.34196,-0.10281,1.00000
2020-12-08,-0.25078,-0.02720,-0.82301,-0.19570,-0.72363,1.44993,-0.63333,0.00000
2020-12-09,-0.38572,-0.20287,-0.71555,0.95576,0.47127,0.11904,-0.14712,1.00000
2020-12-10,-0.08739,0.66917,-0.62209,-0.57524,-0.57662,1.17484,-0.99737,1.00000
2020-12-11,-0.77498,-0.32399,-0.78990,0.20798,-0.08608,-0.06875,-0.29453,1.00000
2020-12-12,-1.51247,-1.24847,-0.94685,0.82256,-0.83298,-0.58016,0.69205,
2020-12-13,-1.51247,2.60985,-1.90176,0.30902,-4.27785,-0.11414,-2.03827,
2020-12-14,-0.87799,0.82877,-0.74236,1.54466,-0.62894,0.25545,-1.05971,0.60000
2020-12-15,0.20906,0.36659,-0.33832,1.56170,0.33484,0.71769,-0.19624,0.50000
2020-12-16,0.40351,0.21876,-1.02889,0.56227,0.56909,0.13707,-0.27771,0.25000
2020-12-17,-0.31599,1.29229,-0.86643,0.18130,-0.48588,1.03341,-1.10627,1.00000
2020-12-18,0.13263,0.69138,-0.70353,0.35921,0.19221,0.75073,-0.37637,0.75000
2020-12-19,-0.73412,1.84462,-0.29797,0.56720,0.02081,0.56201,-0.39428,1.00000
2020-12-20,-0.90532,0.85192,-1.14864,-1.05576,0.49546,-0.77296,-1.33218,1.00000
2020-12-21,-0.16183,-0.53559,-0.30488,1.03530,-0.12143,2.28076,-0.13347,0.50000
2020-12-22,-0.89343,0.37465,-0.63219,0.04654,-0.34036,0.59376,-0.87863,0.50000
2020-12-23,-0.65580,-0.62400,0.55347,0.06315,0.28335,-0.67661,0.20544,0.50000
2020-12-24,-0.53549,0.59305,-0.30386,0.17313,-0.29887,0.99302,-0.32765,1.00000
2020-12-25,-0.73107,-0.40709,-0.53503,0.78319,-0.76627,1.31335,-1.07196,0.75000
2020-12-26,1.59999,1.43558,-1.04234,1.43880,0.01283,2.21595,-0.40008,
2020-12-27,-0.53982,1.12773,-0.61295,2.54687,-0.92065,0.12961,-0.42401,1.00000
2020-12-28,-0.16516,0.78794,0.09929,0.32186,0.51038,0.52422,-0.86169,1.00000
2020-12-29,-0.02948,1.23552,-0.49059,0.53605,0.50709,0.74508,-0.93405,0.66667
2020-12-30,-0.31752,-0.06685,-0.75610,1.14210,0.03936,-0.33638,0.23493,1.00000
2020-12-31,-0.16816,-0.20033,-0.37422,1.26243,-0.74445,0.12961,-0.87906,0.00000
2021-01-01,0.04345,0.45584,0.62362,1.39856,0.87176,1.80101,0.15415,1.00000
2021-01-02,-1.06783,0.59681,2.49084,0.92526,-0.35676,-0.11414,-0.67311,
