date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-08-04,0.415300,0.338240,-1.033180,-0.823820,-0.679230,-0.827260,0.935130,-0.530590,-0.885350,-0.910650,0.383710,0.000000,0.256520,-1.632248,0.004407,1.792114,1.704056,2.106694,1.163315,1.914905,1.522883,1.693421,6.593135
2020-08-05,-0.391210,0.241050,-0.203400,-0.842840,1.446670,0.808130,-0.163690,-0.396450,-1.251050,-0.960310,0.441550,0.000000,1.906443,-0.590433,-0.016015,1.704867,1.851989,2.091203,1.230596,1.938297,1.496864,1.667634,3.595618
2020-08-06,0.683570,0.210680,-0.188900,0.821860,0.187980,0.571040,0.348200,0.336540,-1.552750,-1.199610,0.899290,0.000000,-0.550203,-0.637972,0.006389,1.683783,1.937378,2.061366,1.265257,1.944229,1.470889,1.643249,-3.583325
2020-08-07,-0.202120,-0.701270,0.809910,-0.359220,-0.902470,0.713980,-0.328870,1.063360,-1.998700,-0.683180,1.117550,0.000000,-1.177799,-1.348793,0.002463,1.712557,1.868026,2.042840,1.296649,1.944459,1.447076,1.621111,1.905202
2020-08-10,-1.927510,-0.920430,-1.959570,2.942980,-0.803340,0.978130,-0.623570,1.849790,-1.490150,-0.649480,1.367390,0.000000,-0.887180,-1.062440,-0.007006,1.714479,1.738403,1.976250,1.312747,1.936022,1.425176,1.602020,9.032016
2020-08-11,1.381980,1.525210,,0.049880,-0.246790,1.048130,1.489260,2.400600,-1.129110,-0.609660,1.022540,0.000000,1.577686,-1.563147,-0.014606,1.688349,1.682322,2.004251,1.328849,1.932184,1.402478,1.582458,13.206566
2020-08-12,-0.772480,1.148110,,-0.594470,-0.291300,-0.462210,0.320910,2.329960,-0.848630,-0.659740,0.574060,0.000000,1.567662,-1.706750,0.007233,1.667843,1.738061,2.080258,1.339582,1.934996,1.375659,1.562483,6.192612
2020-08-13,0.643580,-0.971990,0.845600,-0.808020,-0.764150,-0.904840,-0.865780,2.604990,-1.303910,-0.736710,1.952720,0.000000,0.460137,-1.608369,-0.010151,1.663200,1.816892,2.132788,1.366060,1.947049,1.348802,1.543422,-0.167036
2020-08-14,-0.452260,1.311670,,-0.799460,0.469030,1.899500,0.549060,2.223930,-0.830300,-0.636950,1.535440,0.000000,-1.492814,-0.661955,-0.008778,1.628227,1.811291,2.120791,1.380932,1.953646,1.321194,1.524282,-3.233790
2020-08-17,-2.344900,0.372930,0.000000,0.208370,1.299650,3.282800,-0.685820,1.110320,0.309470,-0.663510,-0.167240,0.000000,-1.016694,-0.157165,0.013936,1.579866,1.800438,2.077432,1.378981,1.954315,1.283079,1.502568,-0.593825
