TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2021-02-03,-0.459779,1.017442,,0.0,-1.718875,1.136999,,2.185395,1.167917,1.625545
2021-02-04,0.768703,1.132565,,0.0,-1.627422,1.079311,,2.154754,1.163497,1.618478
2021-02-05,0.535567,1.112114,,0.0,-1.503423,1.041425,,2.118714,1.137223,1.609772
2021-02-08,1.558674,-0.182532,,0.0,-1.329904,0.975506,,2.087629,1.109744,1.597763
2021-02-09,-0.47987,-0.335958,,0.0,-1.172842,0.848005,,2.044503,1.063391,1.590353
2021-02-10,-0.69321,-0.150995,,0.0,-1.156591,0.685477,,2.000321,1.014129,1.578198
2021-02-11,0.501694,-0.062362,,0.0,-1.161188,0.529271,,1.959744,0.956392,1.55986
2021-02-12,0.458022,-0.163877,,0.0,-1.35122,0.330089,,1.922772,0.88453,1.545305
2021-02-15,1.48949,0.321159,,0.0,-1.364568,0.31047,,1.895241,0.802658,1.52678
2021-02-16,0.340108,0.236016,,0.0,-1.275521,0.280322,,1.864927,0.700581,1.505416
2021-02-17,-1.551745,0.976022,,0.0,-1.395993,0.151206,,1.833479,0.593113,1.483578
2021-02-18,-0.896391,1.089676,,0.0,-1.595529,-0.29204,,1.797075,0.495592,1.463035
2021-02-19,1.453856,1.464226,,0.0,-1.721925,-0.346836,,1.773646,0.377215,1.443502
2021-02-20,-0.382754,0.931403,,0.0,-1.767489,-0.102408,,1.750305,0.251224,1.420276
2021-02-22,-0.376356,0.892376,,0.0,-1.657524,0.089703,,1.727949,0.108879,1.400481
2021-02-24,-1.244918,1.5984,,0.0,-1.409064,-0.068534,,1.696983,-0.030956,1.379867
2021-02-25,0.564487,0.875524,,0.0,-1.201726,0.636096,,1.666822,-0.192639,1.359317
2021-02-26,-1.592503,2.223626,,0.0,-0.762175,0.651051,,1.631724,-0.381596,1.338132
2021-03-01,0.912594,0.876756,,0.0,-0.40478,1.716595,,1.602874,-0.572233,1.316641
2021-03-02,0.477927,0.889501,,0.0,-0.265495,2.427964,,1.58245,-0.766218,1.291833
2021-03-03,0.092301,-0.711622,,0.0,-0.497872,2.421263,,1.55996,-0.954376,1.267272
2021-03-04,-0.596711,-0.651969,,0.0,-0.363247,2.344054,,1.532646,-1.117615,1.244346
2021-03-05,0.41612,-0.790244,,0.0,-0.488656,2.204867,,1.511785,-1.316636,1.225791
2021-03-09,1.606384,0.499179,,0.0,-1.325164,2.255412,,1.49693,-1.512176,1.204797
2021-03-10,-0.452377,-0.402732,,0.0,-1.857564,2.005751,,1.480418,-1.718146,1.189909
2021-03-11,1.10839,0.044554,,0.0,-2.041785,2.016442,,1.471607,-1.928438,1.177184
2021-03-12,0.644309,-0.209985,,0.0,-1.651781,2.152327,,1.463555,-2.117275,1.164804
2021-03-15,0.946037,0.255013,,0.0,-0.733554,2.272112,,1.456121,-2.265303,1.14654
2021-03-16,-0.066122,0.163201,,0.0,-0.291678,2.2975,,1.448099,-2.384456,1.127456
2021-03-17,-2.002951,1.982824,,0.0,-0.766529,2.022339,,1.434619,-2.480794,1.105791
2021-03-18,-0.085899,1.719571,,0.0,-1.160716,1.788781,,1.422865,-2.554677,1.081675
2021-03-19,-0.802533,0.57436,,0.0,-1.592932,1.66531,,1.406717,-2.612895,1.054679
2021-03-22,0.24979,-0.073798,,0.0,-1.898672,1.669617,,1.39205,-2.660778,1.021287
